site_dist_id,drone_dist_id,run,anneal_tour,anneal_cost,xentropy_tour,xentropy_cost
0,0,0,"{0: [1, 3, 0, 9], 1: [2, 8, 5], 2: [7, 6, 4]}",1.1775885261595342,"{0: [6, 7, 5], 1: [6, 0, 3], 2: [6, 8, 2, 4, 1, 9]}",3.2998733373694003
0,0,1,"{0: [0, 9, 3, 1], 1: [8, 6, 2], 2: [5, 7, 4]}",1.4392514607666205,"{0: [3, 0, 6, 2], 1: [3, 1], 2: [3, 4, 9, 7, 8, 5]}",4.191632636651364
0,0,2,"{0: [7, 6, 4], 1: [3, 1, 0, 9], 2: [2, 5, 8]}",1.1775885261595342,"{0: [9, 2, 1, 6, 7], 1: [9, 5], 2: [9, 0, 8, 3, 4]}",3.5967637380975677
0,0,3,"{0: [8, 2, 5], 1: [4, 7, 6], 2: [9, 0, 1, 3]}",1.1775885261595342,"{0: [2, 4], 1: [2, 9, 3, 7, 6, 1], 2: [2, 0, 8, 5]}",3.7794233768150924
0,1,0,"{0: [9, 3, 5, 2], 1: [8, 7], 2: [0, 6], 3: [4, 1]}",1.0394393827119455,"{0: [9, 4, 3, 5], 1: [9, 0, 1], 2: [8, 6, 2], 3: [8, 7]}",2.3452666914164007
0,1,1,"{0: [5, 1], 1: [4, 6, 2], 2: [0, 8], 3: [9, 7, 3]}",0.9712058715774691,"{0: [9, 3, 8], 1: [9, 2, 6, 4], 2: [9], 3: [0, 7, 5, 1]}",2.4370974016127778
0,1,2,"{0: [3, 9, 7], 1: [1, 4, 2], 2: [5, 6], 3: [0, 8]}",0.9562942728385666,"{0: [9, 0, 6], 1: [9, 8, 3], 2: [9, 4], 3: [9, 7, 2, 1, 5]}",2.231156630601693
0,1,3,"{0: [6, 5, 4], 1: [2, 3, 1], 2: [8, 0], 3: [7, 9]}",0.9976143624177054,"{0: [5, 3, 0, 2, 6], 1: [5, 1], 2: [5, 8], 3: [4, 9, 7]}",2.667236376652225
1,0,0,"{0: [3], 1: [2, 9], 2: [0], 3: [5, 7], 4: [8], 5: [1], 6: [6], 7: [3, 4]}",0.05455279128638021,"{0: [7, 4], 1: [3, 0], 2: [2], 3: [5], 4: [3, 8], 5: [2, 9], 6: [2, 6], 7: [5, 1]}",0.7343896821623123
1,0,1,"{0: [6], 1: [3], 2: [1], 3: [0], 4: [4, 5, 7], 5: [9], 6: [8], 7: [2]}",0.04896702050373027,"{0: [2], 1: [0], 2: [1, 4, 3, 6], 3: [1], 4: [2, 5], 5: [1, 8], 6: [2, 7], 7: [0, 9]}",0.7365017289522021
1,0,2,"{0: [7], 1: [3, 5], 2: [4], 3: [6], 4: [9, 2], 5: [0], 6: [8], 7: [1]}",0.05455279128638021,"{0: [6, 1, 3], 1: [6], 2: [4, 8], 3: [6, 0, 9, 5], 4: [6], 5: [6], 6: [4, 7], 7: [6, 2]}",0.8741686181702787
1,0,3,"{0: [0], 1: [8], 2: [6], 3: [5, 3], 4: [1], 5: [7, 4], 6: [2], 7: [9]}",0.04959282716499921,"{0: [4, 8], 1: [4, 3], 2: [6, 7, 5], 3: [9, 0], 4: [4], 5: [4, 2], 6: [1], 7: [1]}",0.7365017289522021
1,1,0,"{0: [6, 1, 3], 1: [5, 0], 2: [7], 3: [4], 4: [8], 5: [9, 2]}",0.19594669040431434,"{0: [5, 4], 1: [5, 9, 1, 3], 2: [8, 0], 3: [8, 2], 4: [5, 6], 5: [5, 7]}",0.9292025401851879
1,1,1,"{0: [2, 4], 1: [5, 0], 2: [8], 3: [3, 1], 4: [6, 9], 5: [7]}",0.24053594015528104,"{0: [5, 3], 1: [7], 2: [5], 3: [5, 1, 8, 6], 4: [7, 9, 2, 4, 0], 5: [5]}",1.2814759527985067
1,1,2,"{0: [6, 9, 4], 1: [7], 2: [2], 3: [3, 1], 4: [5, 0], 5: [8]}",0.24308117357613568,"{0: [5, 4, 8], 1: [5, 1, 6, 9, 7], 2: [5], 3: [5, 2, 0], 4: [3], 5: [3]}",1.1782392831758264
1,1,3,"{0: [0, 5], 1: [7], 2: [2, 9], 3: [4], 4: [8], 5: [1, 6, 3]}",0.19594669040431434,"{0: [8, 9, 7, 3, 1], 1: [8, 5, 2], 2: [4], 3: [8, 6], 4: [4], 5: [4, 0]}",1.0612778939367227
